warehousedetailid,description,longdescription,warehouseid,requesttypeid,payload,createdby,createdon,lastupdatedby,lastupdatedon
1,db-alert-lia-pack-uom,db-alert-lia-pack-uom,21,31,"{""alertName"":""LIA RECORDS WITH PACK UOM TYPE POPULATED"",""orgId"":""PEN"",""dataSource"":""MAWM"",""database"":{""connection"":""MAPRD_NEW"",""type"":""MySQL"",""uri"":""jdbc:mysql://10.248.248.195:3306/information_schema""},""email"":{""subject"":""Splunk Alert: $orgId$ + $dataSource$ + $alertName$"",""body"":""The alert condition for '$orgId$ + $dataSource$ + $alertName$' was triggered."",""fromEmail"":""noreply@rndc-usa.com"",""toEmail"":""Ryan.Metz@rndc-usa.com, John.Hall@rndc-usa.com, Anthony.Coleman@rndc-usa.com, Dazzle.Keyser@rndc-usa.com, Douglas.Garner@rndc-usa.com, wmsinternal@rndc-usa.com, wmsconsultant@rndc-usa.com, WMSMSPSupport@RNDC-USA.COM"",""footer"":"""",""attachment"":[""link-to-alert"",""link-to-results"",""inline-table""]},""sql"":""SELECT org_id, location_id, item_id, pack_uom_type_id, pack_uom_quantity FROM default_dcinventory.DCI_LOCATION_ITEM_ASSIGNMENT WHERE 1=1 AND org_id= $orgId AND pack_uom_type_id is NOT NULL;""}",sysuser,37:39.8,sysuser,37:39.8
2,db-alert-lia-pack-uom,db-alert-lia-pack-uom,5,31,NULL,sysuser,37:39.8,sysuser,37:39.8
7,db-alert-lia-pack-uom,db-alert-lia-pack-uom,13,31,NULL,sysuser,37:39.8,sysuser,37:39.8
13,db-alert-lia-pack-uom,db-alert-lia-pack-uom,15,31,NULL,sysuser,37:39.8,sysuser,37:39.8
21,db-alert-lia-pack-uom,db-alert-lia-pack-uom,38,31,NULL,sysuser,37:39.8,sysuser,37:39.8
23,db-alert-lia-pack-uom,db-alert-lia-pack-uom,24,31,NULL,sysuser,37:39.8,sysuser,37:39.8
25,db-alert-lia-pack-uom,db-alert-lia-pack-uom,32,31,NULL,sysuser,37:39.8,sysuser,37:39.8
27,db-alert-lia-pack-uom,db-alert-lia-pack-uom,19,31,NULL,sysuser,37:39.8,sysuser,37:39.8
29,db-alert-lia-pack-uom,db-alert-lia-pack-uom,37,31,NULL,sysuser,37:39.8,sysuser,37:39.8
36,db-alert-lia-pack-uom,db-alert-lia-pack-uom,27,31,"{""alertName"":""LIA RECORDS WITH PACK UOM TYPE POPULATED"",""orgId"":""ARK"",""dataSource"":""MAWM"",""database"":{""connection"":""MAPRD_NEW"",""type"":""MySQL"",""uri"":""jdbc:mysql://10.248.248.195:3306/information_schema""},""email"":{""subject"":""Splunk Alert: $orgId$ + $dataSource$ + $alertName$"",""body"":""The alert condition for '$orgId$ + $dataSource$ + $alertName$' was triggered. ***MSP TO CLEAN UP***"",""fromEmail"":""noreply@rndc-usa.com"",""toEmail"":""Kim.Crawford@rndc-usa.com, Joe.Thompson@rndc-usa.com, Joshua.Edens@rndc-usa.com, wmsinternal@rndc-usa.com, wmsconsultant@rndc-usa.com, WMSMSPSupport@RNDC-USA.COM"",""footer"":"""",""attachment"":[""link-to-alert"",""link-to-results"",""inline-table""]},""sql"":""SELECT org_id, location_id, item_id, pack_uom_type_id, pack_uom_quantity FROM default_dcinventory.DCI_LOCATION_ITEM_ASSIGNMENT WHERE 1=1 AND org_id= $orgId AND pack_uom_type_id is NOT NULL;""}",sysuser,37:39.8,sysuser,37:39.8
