"warehouseid","warehouseshortname","payload"
1,"DEFAULTS",NULL
2,"ABQ","{""orgId"": ""ABQ"", ""willCallAlert"":{""emailContent"":{""subject"":""Daily Status"",""fromEmail"":""noreply@rndc-usa.com"",""toEmail"":""atltyuen@rndc-usa.com"",""sections"":[{""htmlHeader"":""<h2 style='margin:0;'>this is the header</h2>""},{""introHtml"":""<div>Optional text above table</div>""},{""tableHtml"":{""tableHeaders"":[],""tableRows"":[]}},{""footerHtml"":""<div>Optional text below table</div>""}]}}}"
3,"ASH","{""orgId"": ""ASH"", ""willCallAlert"":{""emailContent"":{""subject"":""Daily Status"",""fromEmail"":""noreply@rndc-usa.com"",""toEmail"":""atltyuen@rndc-usa.com"",""sections"":[{""htmlHeader"":""<h2 style='margin:0;'>this is the header</h2>""},{""introHtml"":""<div>Optional text above table</div>""},{""tableHtml"":{""tableHeaders"":[],""tableRows"":[]}},{""footerHtml"":""<div>Optional text below table</div>""}]}}}"
4,"ATL","{""orgId"": ""ATL"", ""willCallAlert"":{""emailContent"":{""subject"":""Daily Status"",""fromEmail"":""noreply@rndc-usa.com"",""toEmail"":""atltyuen@rndc-usa.com"",""sections"":[{""htmlHeader"":""<h2 style='margin:0;'>this is the header</h2>""},{""introHtml"":""<div>Optional text above table</div>""},{""tableHtml"":{""tableHeaders"":[],""tableRows"":[]}},{""footerHtml"":""<div>Optional text below table</div>""}]}}}"
5,"COL","{""orgId"": ""COL"", ""willCallAlert"":{""emailContent"":{""subject"":""Daily Status"",""fromEmail"":""noreply@rndc-usa.com"",""toEmail"":""atltyuen@rndc-usa.com"",""sections"":[{""htmlHeader"":""<h2 style='margin:0;'>this is the header</h2>""},{""introHtml"":""<div>Optional text above table</div>""},{""tableHtml"":{""tableHeaders"":[],""tableRows"":[]}},{""footerHtml"":""<div>Optional text below table</div>""}]}}}"
6,"DEN","{""orgId"": ""DEN"", ""willCallAlert"":{""emailContent"":{""subject"":""Daily Status"",""fromEmail"":""noreply@rndc-usa.com"",""toEmail"":""atltyuen@rndc-usa.com"",""sections"":[{""htmlHeader"":""<h2 style='margin:0;'>this is the header</h2>""},{""introHtml"":""<div>Optional text above table</div>""},{""tableHtml"":{""tableHeaders"":[],""tableRows"":[]}},{""footerHtml"":""<div>Optional text below table</div>""}]}}}"
7,"DFB","{""orgId"": ""DFB"", ""willCallAlert"":{""emailContent"":{""subject"":""Daily Status"",""fromEmail"":""noreply@rndc-usa.com"",""toEmail"":""atltyuen@rndc-usa.com"",""sections"":[{""htmlHeader"":""<h2 style='margin:0;'>this is the header</h2>""},{""introHtml"":""<div>Optional text above table</div>""},{""tableHtml"":{""tableHeaders"":[],""tableRows"":[]}},{""footerHtml"":""<div>Optional text below table</div>""}]}}}"
8,"ELP","{""orgId"": ""ELP"", ""willCallAlert"":{""emailContent"":{""subject"":""Daily Status"",""fromEmail"":""noreply@rndc-usa.com"",""toEmail"":""atltyuen@rndc-usa.com"",""sections"":[{""htmlHeader"":""<h2 style='margin:0;'>this is the header</h2>""},{""introHtml"":""<div>Optional text above table</div>""},{""tableHtml"":{""tableHeaders"":[],""tableRows"":[]}},{""footerHtml"":""<div>Optional text below table</div>""}]}}}"
9,"FAR","{""orgId"": ""FAR"", ""willCallAlert"":{""emailContent"":{""subject"":""Daily Status"",""fromEmail"":""noreply@rndc-usa.com"",""toEmail"":""atltyuen@rndc-usa.com"",""sections"":[{""htmlHeader"":""<h2 style='margin:0;'>this is the header</h2>""},{""introHtml"":""<div>Optional text above table</div>""},{""tableHtml"":{""tableHeaders"":[],""tableRows"":[]}},{""footerHtml"":""<div>Optional text below table</div>""}]}}}"
10,"GRP","{""orgId"": ""GRP"", ""willCallAlert"":{""emailContent"":{""subject"":""Daily Status"",""fromEmail"":""noreply@rndc-usa.com"",""toEmail"":""atltyuen@rndc-usa.com"",""sections"":[{""htmlHeader"":""<h2 style='margin:0;'>this is the header</h2>""},{""introHtml"":""<div>Optional text above table</div>""},{""tableHtml"":{""tableHeaders"":[],""tableRows"":[]}},{""footerHtml"":""<div>Optional text below table</div>""}]}}}"
11,"HOU","{""orgId"": ""HOU"", ""willCallAlert"":{""emailContent"":{""subject"":""Daily Status"",""fromEmail"":""noreply@rndc-usa.com"",""toEmail"":""atltyuen@rndc-usa.com"",""sections"":[{""htmlHeader"":""<h2 style='margin:0;'>this is the header</h2>""},{""introHtml"":""<div>Optional text above table</div>""},{""tableHtml"":{""tableHeaders"":[],""tableRows"":[]}},{""footerHtml"":""<div>Optional text below table</div>""}]}}}"
12,"IND","{""orgId"": ""IND"", ""willCallAlert"":{""emailContent"":{""subject"":""Daily Status"",""fromEmail"":""noreply@rndc-usa.com"",""toEmail"":""atltyuen@rndc-usa.com"",""sections"":[{""htmlHeader"":""<h2 style='margin:0;'>this is the header</h2>""},{""introHtml"":""<div>Optional text above table</div>""},{""tableHtml"":{""tableHeaders"":[],""tableRows"":[]}},{""footerHtml"":""<div>Optional text below table</div>""}]}}}"
13,"JAC","{""orgId"": ""JAC"", ""willCallAlert"":{""emailContent"":{""subject"":""Daily Status"",""fromEmail"":""noreply@rndc-usa.com"",""toEmail"":""atltyuen@rndc-usa.com"",""sections"":[{""htmlHeader"":""<h2 style='margin:0;'>this is the header</h2>""},{""introHtml"":""<div>Optional text above table</div>""},{""tableHtml"":{""tableHeaders"":[],""tableRows"":[]}},{""footerHtml"":""<div>Optional text below table</div>""}]}}}"
14,"JES","{""orgId"": ""JES"", ""willCallAlert"":{""emailContent"":{""subject"":""Daily Status"",""fromEmail"":""noreply@rndc-usa.com"",""toEmail"":""atltyuen@rndc-usa.com"",""sections"":[{""htmlHeader"":""<h2 style='margin:0;'>this is the header</h2>""},{""introHtml"":""<div>Optional text above table</div>""},{""tableHtml"":{""tableHeaders"":[],""tableRows"":[]}},{""footerHtml"":""<div>Optional text below table</div>""}]}}}"
15,"LAF","{""orgId"": ""LAF"", ""willCallAlert"":{""emailContent"":{""subject"":""Daily Status"",""fromEmail"":""noreply@rndc-usa.com"",""toEmail"":""atltyuen@rndc-usa.com"",""sections"":[{""htmlHeader"":""<h2 style='margin:0;'>this is the header</h2>""},{""introHtml"":""<div>Optional text above table</div>""},{""tableHtml"":{""tableHeaders"":[],""tableRows"":[]}},{""footerHtml"":""<div>Optional text below table</div>""}]}}}"
16,"LIV","{""orgId"": ""LIV"", ""willCallAlert"":{""emailContent"":{""subject"":""Daily Status"",""fromEmail"":""noreply@rndc-usa.com"",""toEmail"":""atltyuen@rndc-usa.com"",""sections"":[{""htmlHeader"":""<h2 style='margin:0;'>this is the header</h2>""},{""introHtml"":""<div>Optional text above table</div>""},{""tableHtml"":{""tableHeaders"":[],""tableRows"":[]}},{""footerHtml"":""<div>Optional text below table</div>""}]}}}"
17,"NEW","{""orgId"": ""NEW"", ""willCallAlert"":{""emailContent"":{""subject"":""Daily Status"",""fromEmail"":""noreply@rndc-usa.com"",""toEmail"":""atltyuen@rndc-usa.com"",""sections"":[{""htmlHeader"":""<h2 style='margin:0;'>this is the header</h2>""},{""introHtml"":""<div>Optional text above table</div>""},{""tableHtml"":{""tableHeaders"":[],""tableRows"":[]}},{""footerHtml"":""<div>Optional text below table</div>""}]}}}"
18,"OKL","{""orgId"": ""OKL"", ""willCallAlert"":{""emailContent"":{""subject"":""Daily Status"",""fromEmail"":""noreply@rndc-usa.com"",""toEmail"":""atltyuen@rndc-usa.com"",""sections"":[{""htmlHeader"":""<h2 style='margin:0;'>this is the header</h2>""},{""introHtml"":""<div>Optional text above table</div>""},{""tableHtml"":{""tableHeaders"":[],""tableRows"":[]}},{""footerHtml"":""<div>Optional text below table</div>""}]}}}"
